idx,mean_script,std_script,mean_backend,std_backend,diff_mean,diff_std
0,0.555726,0.196797,0.393377,0.314009,0.162349,0.117212
1,0.765245,0.270737,0.455500,0.366030,0.309745,0.095292
2,0.528527,0.187118,0.379588,0.303123,0.148939,0.116005
3,0.749877,0.265608,0.432909,0.348914,0.316968,0.083307
4,0.499154,0.176706,0.370361,0.296087,0.128794,0.119381
5,0.748994,0.265969,0.413012,0.334605,0.335982,0.068635
6,0.475325,0.168375,0.361971,0.289783,0.113354,0.121408
7,0.763091,0.271506,0.404843,0.329867,0.358247,0.058361
8,0.457978,0.162350,0.359189,0.288055,0.098788,0.125705
9,0.777892,0.277210,0.407236,0.332687,0.370656,0.055477
10,0.515136,0.182227,0.396619,0.317493,0.118517,0.135266
11,0.729795,0.259493,0.387565,0.315810,0.342229,0.056317
12,0.491183,0.173875,0.393207,0.315690,0.097976,0.141815
13,0.762786,0.271229,0.372081,0.309443,0.390705,0.038214
14,0.476883,0.168971,0.390758,0.314289,0.086125,0.145318
15,0.788375,0.280250,0.361490,0.306823,0.426884,0.026573
16,0.466626,0.165453,0.390488,0.314577,0.076138,0.149124
17,0.807946,0.287163,0.351518,0.304341,0.456428,0.017178
18,0.531412,0.188008,0.409872,0.328041,0.121540,0.140034
19,0.752295,0.266978,0.403102,0.328054,0.349194,0.061076
20,0.504806,0.178726,0.386590,0.309430,0.118216,0.130704
21,0.792277,0.281599,0.402467,0.331152,0.389811,0.049553
22,0.488088,0.173083,0.373507,0.299054,0.114581,0.125972
23,0.816511,0.290415,0.420120,0.344849,0.396392,0.054434
24,0.476206,0.169175,0.372563,0.298763,0.103643,0.129587
25,0.832148,0.296110,0.429856,0.352573,0.402292,0.056463
26,0.544147,0.192532,0.415814,0.332612,0.128333,0.140080
27,0.780134,0.276388,0.426149,0.345746,0.353986,0.069357
28,0.520979,0.184483,0.387449,0.309645,0.133530,0.125162
29,0.820808,0.291104,0.434590,0.354405,0.386219,0.063300
30,0.505208,0.179204,0.378869,0.302999,0.126339,0.123795
31,0.839979,0.298053,0.446612,0.364119,0.393367,0.066066
32,0.492889,0.175171,0.381865,0.306013,0.111024,0.130842
33,0.850912,0.302026,0.450953,0.368058,0.399959,0.066032
34,0.553231,0.195800,0.416338,0.332821,0.136893,0.137020
35,0.810223,0.286703,0.450942,0.364734,0.359281,0.078031
36,0.536189,0.190103,0.394249,0.314926,0.141940,0.124823
37,0.842092,0.298162,0.457007,0.370893,0.385085,0.072731
