pair,script,backend,rows_compared,top_mean_diff_idxs,top_mean_diff_vals,top_std_diff_idxs,top_std_diff_vals,stats_csv,histograms
log_script_2025-11-11T20-45-08.json__log_backend_2025-11-11T20-45-08.json,log_script_2025-11-11T20-45-08.json,static\debug_logs\log_backend_2025-11-11T20-45-08.json,12,"[103, 102, 107, 95, 41, 39]","[1.8125734329223633, 1.6134037971496582, 0.5833333134651184, 0.5098505616188049, 0.5074203014373779, 0.5065149664878845]","[103, 105, 102, 104, 107, 41]","[12.657679557800293, 10.932249069213867, 9.214034080505371, 4.050796985626221, 0.4930066466331482, 0.4402676820755005]",log_script_2025-11-11T20-45-08__log_backend_2025-11-11T20-45-08_stats.csv,"['log_script_2025-11-11T20-45-08__log_backend_2025-11-11T20-45-08_hist_idx103.png', 'log_script_2025-11-11T20-45-08__log_backend_2025-11-11T20-45-08_hist_idx102.png', 'log_script_2025-11-11T20-45-08__log_backend_2025-11-11T20-45-08_hist_idx107.png', 'log_script_2025-11-11T20-45-08__log_backend_2025-11-11T20-45-08_hist_idx95.png', 'log_script_2025-11-11T20-45-08__log_backend_2025-11-11T20-45-08_hist_idx41.png', 'log_script_2025-11-11T20-45-08__log_backend_2025-11-11T20-45-08_hist_idx39.png']"
log_script_2025-11-11T20-45-09.json__log_backend_2025-11-11T20-45-08.json,log_script_2025-11-11T20-45-09.json,static\debug_logs\log_backend_2025-11-11T20-45-08.json,12,"[103, 102, 107, 41, 95, 39]","[1.8125734329223633, 1.6134037971496582, 0.5833333134651184, 0.5074203014373779, 0.5069683194160461, 0.5065149664878845]","[103, 105, 102, 104, 107, 41]","[12.657679557800293, 10.932249069213867, 9.214034080505371, 4.050796985626221, 0.4930066466331482, 0.4402676820755005]",log_script_2025-11-11T20-45-09__log_backend_2025-11-11T20-45-08_stats.csv,"['log_script_2025-11-11T20-45-09__log_backend_2025-11-11T20-45-08_hist_idx103.png', 'log_script_2025-11-11T20-45-09__log_backend_2025-11-11T20-45-08_hist_idx102.png', 'log_script_2025-11-11T20-45-09__log_backend_2025-11-11T20-45-08_hist_idx107.png', 'log_script_2025-11-11T20-45-09__log_backend_2025-11-11T20-45-08_hist_idx41.png', 'log_script_2025-11-11T20-45-09__log_backend_2025-11-11T20-45-08_hist_idx95.png', 'log_script_2025-11-11T20-45-09__log_backend_2025-11-11T20-45-08_hist_idx39.png']"
log_script_2025-11-11T20-45-10.json__log_backend_2025-11-11T20-45-11.json,log_script_2025-11-11T20-45-10.json,static\debug_logs\log_backend_2025-11-11T20-45-11.json,15,"[103, 102, 107, 106, 41, 39]","[1.4425474405288696, 1.304842233657837, 0.6000000238418579, 0.4963749051094055, 0.4843496084213257, 0.48228952288627625]","[103, 105, 102, 104, 107, 106]","[11.123053550720215, 9.089445114135742, 8.308646202087402, 3.5475287437438965, 0.4898979961872101, 0.4645790457725525]",log_script_2025-11-11T20-45-10__log_backend_2025-11-11T20-45-11_stats.csv,"['log_script_2025-11-11T20-45-10__log_backend_2025-11-11T20-45-11_hist_idx103.png', 'log_script_2025-11-11T20-45-10__log_backend_2025-11-11T20-45-11_hist_idx102.png', 'log_script_2025-11-11T20-45-10__log_backend_2025-11-11T20-45-11_hist_idx107.png', 'log_script_2025-11-11T20-45-10__log_backend_2025-11-11T20-45-11_hist_idx106.png', 'log_script_2025-11-11T20-45-10__log_backend_2025-11-11T20-45-11_hist_idx41.png', 'log_script_2025-11-11T20-45-10__log_backend_2025-11-11T20-45-11_hist_idx39.png']"
log_script_2025-11-11T20-45-11.json__log_backend_2025-11-11T20-45-11.json,log_script_2025-11-11T20-45-11.json,static\debug_logs\log_backend_2025-11-11T20-45-11.json,15,"[103, 102, 107, 106, 41, 39]","[1.4425474405288696, 1.304842233657837, 0.6000000238418579, 0.4963749051094055, 0.4843496084213257, 0.48228952288627625]","[103, 105, 102, 104, 107, 106]","[11.123053550720215, 9.089445114135742, 8.308646202087402, 3.5475287437438965, 0.4898979961872101, 0.4645790457725525]",log_script_2025-11-11T20-45-11__log_backend_2025-11-11T20-45-11_stats.csv,"['log_script_2025-11-11T20-45-11__log_backend_2025-11-11T20-45-11_hist_idx103.png', 'log_script_2025-11-11T20-45-11__log_backend_2025-11-11T20-45-11_hist_idx102.png', 'log_script_2025-11-11T20-45-11__log_backend_2025-11-11T20-45-11_hist_idx107.png', 'log_script_2025-11-11T20-45-11__log_backend_2025-11-11T20-45-11_hist_idx106.png', 'log_script_2025-11-11T20-45-11__log_backend_2025-11-11T20-45-11_hist_idx41.png', 'log_script_2025-11-11T20-45-11__log_backend_2025-11-11T20-45-11_hist_idx39.png']"
log_script_2025-11-11T20-45-12.json__log_backend_2025-11-11T20-45-12.json,log_script_2025-11-11T20-45-12.json,static\debug_logs\log_backend_2025-11-11T20-45-12.json,18,"[105, 102, 103, 104, 17, 15]","[0.7815877199172974, 0.448542058467865, 0.3118557929992676, 0.3116457760334015, 0.228939026594162, 0.20542031526565552]","[103, 102, 105, 104, 17, 15]","[5.995013236999512, 5.04544734954834, 5.041670799255371, 2.1358642578125, 0.1610298752784729, 0.1478663980960846]",log_script_2025-11-11T20-45-12__log_backend_2025-11-11T20-45-12_stats.csv,"['log_script_2025-11-11T20-45-12__log_backend_2025-11-11T20-45-12_hist_idx105.png', 'log_script_2025-11-11T20-45-12__log_backend_2025-11-11T20-45-12_hist_idx102.png', 'log_script_2025-11-11T20-45-12__log_backend_2025-11-11T20-45-12_hist_idx103.png', 'log_script_2025-11-11T20-45-12__log_backend_2025-11-11T20-45-12_hist_idx104.png', 'log_script_2025-11-11T20-45-12__log_backend_2025-11-11T20-45-12_hist_idx17.png', 'log_script_2025-11-11T20-45-12__log_backend_2025-11-11T20-45-12_hist_idx15.png']"
log_script_2025-11-11T20-45-13.json__log_backend_2025-11-11T20-45-12.json,log_script_2025-11-11T20-45-13.json,static\debug_logs\log_backend_2025-11-11T20-45-12.json,18,"[103, 102, 105, 17, 15, 25]","[1.213565707206726, 1.1125236749649048, 0.8260968327522278, 0.45642831921577454, 0.4268842935562134, 0.4022919833660126]","[103, 102, 105, 104, 108, 107]","[9.76806354522705, 7.490380764007568, 5.049932479858398, 2.127258539199829, 0.18263429403305054, 0.17322838306427002]",log_script_2025-11-11T20-45-13__log_backend_2025-11-11T20-45-12_stats.csv,"['log_script_2025-11-11T20-45-13__log_backend_2025-11-11T20-45-12_hist_idx103.png', 'log_script_2025-11-11T20-45-13__log_backend_2025-11-11T20-45-12_hist_idx102.png', 'log_script_2025-11-11T20-45-13__log_backend_2025-11-11T20-45-12_hist_idx105.png', 'log_script_2025-11-11T20-45-13__log_backend_2025-11-11T20-45-12_hist_idx17.png', 'log_script_2025-11-11T20-45-13__log_backend_2025-11-11T20-45-12_hist_idx15.png', 'log_script_2025-11-11T20-45-13__log_backend_2025-11-11T20-45-12_hist_idx25.png']"
log_script_2025-11-11T20-45-14.json__log_backend_2025-11-11T20-45-15.json,log_script_2025-11-11T20-45-14.json,static\debug_logs\log_backend_2025-11-11T20-45-15.json,21,"[103, 102, 106, 107, 41, 39]","[0.42040032148361206, 0.38349300622940063, 0.15753597021102905, 0.1428571343421936, 0.13579952716827393, 0.1328953504562378]","[103, 105, 102, 104, 107, 95]","[9.608894348144531, 7.489630222320557, 6.753170967102051, 3.0175857543945312, 0.10182681679725647, 0.08995819091796875]",log_script_2025-11-11T20-45-14__log_backend_2025-11-11T20-45-15_stats.csv,"['log_script_2025-11-11T20-45-14__log_backend_2025-11-11T20-45-15_hist_idx103.png', 'log_script_2025-11-11T20-45-14__log_backend_2025-11-11T20-45-15_hist_idx102.png', 'log_script_2025-11-11T20-45-14__log_backend_2025-11-11T20-45-15_hist_idx106.png', 'log_script_2025-11-11T20-45-14__log_backend_2025-11-11T20-45-15_hist_idx107.png', 'log_script_2025-11-11T20-45-14__log_backend_2025-11-11T20-45-15_hist_idx41.png', 'log_script_2025-11-11T20-45-14__log_backend_2025-11-11T20-45-15_hist_idx39.png']"
log_script_2025-11-11T20-45-15.json__log_backend_2025-11-11T20-45-15.json,log_script_2025-11-11T20-45-15.json,static\debug_logs\log_backend_2025-11-11T20-45-15.json,21,"[103, 102, 106, 107, 18, 26]","[1.036498785018921, 0.9303152561187744, 0.3472774028778076, 0.2857142686843872, 0.20954087376594543, 0.20844674110412598]","[103, 102, 105, 104, 107, 106]","[12.493402481079102, 9.177850723266602, 7.580254554748535, 3.048044204711914, 0.4517539143562317, 0.44486531615257263]",log_script_2025-11-11T20-45-15__log_backend_2025-11-11T20-45-15_stats.csv,"['log_script_2025-11-11T20-45-15__log_backend_2025-11-11T20-45-15_hist_idx103.png', 'log_script_2025-11-11T20-45-15__log_backend_2025-11-11T20-45-15_hist_idx102.png', 'log_script_2025-11-11T20-45-15__log_backend_2025-11-11T20-45-15_hist_idx106.png', 'log_script_2025-11-11T20-45-15__log_backend_2025-11-11T20-45-15_hist_idx107.png', 'log_script_2025-11-11T20-45-15__log_backend_2025-11-11T20-45-15_hist_idx18.png', 'log_script_2025-11-11T20-45-15__log_backend_2025-11-11T20-45-15_hist_idx26.png']"
log_script_2025-11-11T20-45-16.json__log_backend_2025-11-11T20-45-15.json,log_script_2025-11-11T20-45-16.json,static\debug_logs\log_backend_2025-11-11T20-45-15.json,21,"[103, 102, 106, 107, 18, 26]","[1.0268906354904175, 0.9315731525421143, 0.34659528732299805, 0.2857142686843872, 0.21742376685142517, 0.21662527322769165]","[103, 102, 105, 104, 107, 106]","[12.554496765136719, 9.182300567626953, 7.580254554748535, 3.048044204711914, 0.4517539143562317, 0.44465184211730957]",log_script_2025-11-11T20-45-16__log_backend_2025-11-11T20-45-15_stats.csv,"['log_script_2025-11-11T20-45-16__log_backend_2025-11-11T20-45-15_hist_idx103.png', 'log_script_2025-11-11T20-45-16__log_backend_2025-11-11T20-45-15_hist_idx102.png', 'log_script_2025-11-11T20-45-16__log_backend_2025-11-11T20-45-15_hist_idx106.png', 'log_script_2025-11-11T20-45-16__log_backend_2025-11-11T20-45-15_hist_idx107.png', 'log_script_2025-11-11T20-45-16__log_backend_2025-11-11T20-45-15_hist_idx18.png', 'log_script_2025-11-11T20-45-16__log_backend_2025-11-11T20-45-15_hist_idx26.png']"
log_script_2025-11-11T20-45-17.json__log_backend_2025-11-11T20-45-18.json,log_script_2025-11-11T20-45-17.json,static\debug_logs\log_backend_2025-11-11T20-45-18.json,24,"[103, 102, 106, 107, 18, 26]","[0.8983117938041687, 0.8172215819358826, 0.31492191553115845, 0.2916666865348816, 0.2192990481853485, 0.21919098496437073]","[103, 105, 102, 104, 107, 106]","[8.729854583740234, 6.994739055633545, 6.515878200531006, 2.9512779712677, 0.4545297920703888, 0.4439471662044525]",log_script_2025-11-11T20-45-17__log_backend_2025-11-11T20-45-18_stats.csv,"['log_script_2025-11-11T20-45-17__log_backend_2025-11-11T20-45-18_hist_idx103.png', 'log_script_2025-11-11T20-45-17__log_backend_2025-11-11T20-45-18_hist_idx102.png', 'log_script_2025-11-11T20-45-17__log_backend_2025-11-11T20-45-18_hist_idx106.png', 'log_script_2025-11-11T20-45-17__log_backend_2025-11-11T20-45-18_hist_idx107.png', 'log_script_2025-11-11T20-45-17__log_backend_2025-11-11T20-45-18_hist_idx18.png', 'log_script_2025-11-11T20-45-17__log_backend_2025-11-11T20-45-18_hist_idx26.png']"
