idx,mean_script,std_script,mean_backend,std_backend,diff_mean,diff_std
0,0.311516,0.348288,0.374013,0.319944,0.062497,0.028343
1,0.332512,0.371844,0.432046,0.372614,0.099534,0.000771
2,0.301972,0.337619,0.361892,0.309654,0.059920,0.027965
3,0.317421,0.354969,0.412971,0.357832,0.095551,0.002863
4,0.292524,0.327058,0.354000,0.303143,0.061476,0.023914
5,0.301529,0.337201,0.396349,0.346454,0.094820,0.009253
6,0.286490,0.320310,0.347230,0.297591,0.060740,0.022719
7,0.300982,0.336539,0.389429,0.343725,0.088448,0.007186
8,0.291264,0.325652,0.345260,0.296154,0.053996,0.029499
9,0.311178,0.347917,0.390631,0.346665,0.079453,0.001253
10,0.311722,0.348521,0.378344,0.324400,0.066621,0.024121
11,0.269523,0.301419,0.373923,0.330273,0.104401,0.028854
12,0.309921,0.346509,0.376471,0.323358,0.066550,0.023151
13,0.257345,0.287792,0.361351,0.327137,0.104006,0.039345
14,0.309312,0.345852,0.375120,0.322537,0.065808,0.023315
15,0.248433,0.278093,0.351545,0.324369,0.103112,0.046275
16,0.310882,0.347646,0.375487,0.323188,0.064605,0.024458
17,0.239673,0.268871,0.342172,0.321434,0.102499,0.052563
18,0.325692,0.364146,0.390698,0.334942,0.065006,0.029205
19,0.278160,0.311095,0.387809,0.341080,0.109649,0.029985
20,0.307340,0.343620,0.371332,0.318270,0.063992,0.025350
21,0.293925,0.328634,0.388104,0.346164,0.094179,0.017530
22,0.299064,0.334365,0.359574,0.308192,0.060510,0.026173
23,0.311906,0.348725,0.403583,0.358202,0.091677,0.009477
24,0.299875,0.335273,0.358558,0.307553,0.058683,0.027719
25,0.319019,0.356687,0.412272,0.364817,0.093253,0.008130
26,0.333401,0.372769,0.396297,0.339549,0.062895,0.033220
27,0.298612,0.333931,0.408314,0.356853,0.109702,0.022922
28,0.313797,0.350838,0.371586,0.318114,0.057789,0.032725
29,0.318179,0.355760,0.416535,0.366587,0.098357,0.010826
30,0.305946,0.342059,0.364016,0.311725,0.058070,0.030334
31,0.327685,0.366397,0.427150,0.375164,0.099465,0.008767
32,0.306538,0.342722,0.366995,0.314574,0.060457,0.028148
33,0.328597,0.367463,0.431135,0.378325,0.102538,0.010862
34,0.337297,0.377123,0.397030,0.339946,0.059733,0.037177
35,0.322086,0.360146,0.430363,0.374111,0.108278,0.013965
36,0.320957,0.358843,0.377427,0.322970,0.056470,0.035873
